Maturity,volume_weighted_yield_actual,bond_sym_id,previous yield,volume_weighted_yield_predicted,direction,percentage_change,trd_exctn_dt,error
1 Mo,5.417,1 Mo,2.744,2.7691273768601654,up,0.9157207310555828,Date,2.6478726231398344
2 Mo,5.473,2 Mo,2.744,2.7691273768601654,up,0.9157207310555828,Date,2.7038726231398345
3 Mo,5.504,3 Mo,2.744,2.7691273768601654,up,0.9157207310555828,Date,2.734872623139834
6 Mo,5.607,6 Mo,2.744,2.7691273768601654,up,0.9157207310555828,Date,2.837872623139835
1 Yr,5.519,1 Yr,2.744,2.7691273768601654,up,0.9157207310555828,Date,2.7498726231398347
2 Yr,5.129,2 Yr,2.744,2.7691273768601654,up,0.9157207310555828,Date,2.359872623139834
3 Yr,4.888,3 Yr,2.744,2.7691273768601654,up,0.9157207310555828,Date,2.1188726231398345
5 Yr,4.683,5 Yr,2.744,2.7691273768601654,up,0.9157207310555828,Date,1.9138726231398344
7 Yr,4.68,7 Yr,2.744,2.7691273768601654,up,0.9157207310555828,Date,1.9108726231398343
10 Yr,4.605,10 Yr,2.744,2.7691273768601654,up,0.9157207310555828,Date,1.835872623139835
20 Yr,4.921,20 Yr,2.744,2.7691273768601654,up,0.9157207310555828,Date,2.151872623139835
30 Yr,4.72,30 Yr,2.744,2.7691273768601654,up,0.9157207310555828,Date,1.9508726231398343
